,loss,accuracy,val_loss,val_accuracy
0,0.6866657137870789,0.5399211645126343,0.6792190670967102,0.6023622155189514
1,0.6689081192016602,0.6329002976417542,0.6632038354873657,0.6679790019989014
2,0.6560274362564087,0.6654502749443054,0.6492109894752502,0.6771653294563293
3,0.6440541744232178,0.6853014230728149,0.6355827450752258,0.6955380439758301
4,0.6308895349502563,0.6977083683013916,0.6212158799171448,0.7139107584953308
5,0.6166552305221558,0.7143482565879822,0.6038684844970703,0.721784770488739
6,0.5969579815864563,0.7369726896286011,0.5779780149459839,0.73884516954422
7,0.5677924752235413,0.7558020949363708,0.5410173535346985,0.7506561875343323
8,0.5344439148902893,0.7658736109733582,0.5073897838592529,0.7769029140472412
9,0.5133434534072876,0.7644139528274536,0.4886150658130646,0.7821522355079651
10,0.5013219118118286,0.7698146104812622,0.48053494095802307,0.7808399200439453
11,0.4995124638080597,0.7648518681526184,0.4749526083469391,0.7887139320373535
12,0.4909004867076874,0.7734637260437012,0.4706769287586212,0.7913385629653931
13,0.4852733016014099,0.7768208980560303,0.4679424464702606,0.7913385629653931
14,0.4805586338043213,0.7769668698310852,0.4649096727371216,0.7900262475013733
15,0.478671669960022,0.781345784664154,0.4626079499721527,0.7913385629653931
16,0.4762983024120331,0.781491756439209,0.4605933129787445,0.787401556968689
17,0.4738768935203552,0.7860166430473328,0.45824986696243286,0.7887139320373535
18,0.4708349406719208,0.784994900226593,0.45599234104156494,0.787401556968689
19,0.4651753306388855,0.7871843576431274,0.4539887011051178,0.7887139320373535
20,0.4672381579875946,0.7883520722389221,0.45258182287216187,0.7887139320373535
21,0.4682616591453552,0.7861626148223877,0.45132240653038025,0.7887139320373535
22,0.4677468538284302,0.7841191291809082,0.44973498582839966,0.787401556968689
23,0.4603574275970459,0.7950664162635803,0.44863906502723694,0.7913385629653931
24,0.4576449990272522,0.7941906452178955,0.4475027918815613,0.7887139320373535
25,0.45505058765411377,0.7931689023971558,0.44665414094924927,0.7939632534980774
26,0.4569396376609802,0.7937527298927307,0.44506630301475525,0.7939632534980774
27,0.45475372672080994,0.7937527298927307,0.4438920319080353,0.7952755689620972
28,0.4567807912826538,0.7924390435218811,0.4431787431240082,0.7952755689620972
29,0.4504469633102417,0.799883246421814,0.4426783621311188,0.8005249500274658
30,0.4545576274394989,0.7931689023971558,0.4414944648742676,0.8031495809555054
31,0.4537997245788574,0.7920011878013611,0.44122743606567383,0.8018372654914856
32,0.4523131251335144,0.7994453310966492,0.4401254653930664,0.8031495809555054
33,0.4479004144668579,0.7982776165008545,0.43945616483688354,0.8057742714881897
34,0.4490993916988373,0.7987155318260193,0.4387653172016144,0.8044619560241699
35,0.44401729106903076,0.8010509610176086,0.4383283853530884,0.8044619560241699
36,0.44817525148391724,0.799883246421814,0.43771040439605713,0.8070865869522095
37,0.4438367187976837,0.8014888167381287,0.43677470088005066,0.8044619560241699
38,0.4474911391735077,0.7937527298927307,0.4364526569843292,0.808398962020874
39,0.44645369052886963,0.7982776165008545,0.43568888306617737,0.8097112774848938
